CO_IES,CO_CURSO,TP_TURNO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,TP_COR_RACA,TP_SEXO,NU_IDADE,TP_NACIONALIDADE,IN_DEFICIENCIA,DT_INGRESSO_CURSO,IN_RESERVA_VAGAS,IN_FINANCIAMENTO_ESTUDANTIL,IN_APOIO_SOCIAL,IN_ATIVIDADE_EXTRACURRICULAR,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,IN_MATRICULA,IN_CONCLUINTE,TP_SITUACAO
1400,1168331,3.0,3.0,1,3,1,21,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,3,1,27,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,24,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,24,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,1,24,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,1,30,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,3,2,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,22,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,23,1,0,01JAN2016:00:00:00,0,0.0,0,0,2,1,1,1
1400,1168331,3.0,3.0,1,1,2,20,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,2,21,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,3,2,22,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,22,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,2,2,22,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,1,30,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,3,1,34,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,2,2,23,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,1,23,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,1,2,20,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1168331,3.0,3.0,1,1,1,24,1,0,01JUL2016:00:00:00,0,0.0,0,0,2,1,1,1
1400,1168331,3.0,3.0,1,1,1,28,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,1,1,22,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,3,1,22,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,22,1,1,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,28,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,37,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,2,1,26,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,30,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,4,1,32,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,18,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,0,1,23,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,4,1,32,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,3,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,3,1,20,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,2,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,3,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,26,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,20,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,2,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,2,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,3,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,0,1,21,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,47,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,57,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,0,0,0
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,44,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,2,1,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,0,1,18,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,34,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,18,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,3,1,18,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,0,0,0
1400,1168331,3.0,3.0,1,1,2,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,1,22,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,2,21,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,27,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,0,0,0
1400,1168331,3.0,3.0,1,3,1,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,2,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1168331,3.0,3.0,1,1,1,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,3,2,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1168331,3.0,3.0,1,1,1,41,1,1,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,30,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,1,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1168331,3.0,3.0,1,1,2,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,43,1,0,01JAN2015:00:00:00,0,0.0,0,0,2,0,0,1
1400,1185336,3.0,3.0,1,1,2,30,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,1,28,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,4,1,27,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,1,2,36,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,2,37,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,0,1,31,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,1,2,27,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,2,29,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,1,2,30,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,4,1,24,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,0,1,24,1,0,01JAN2015:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185336,3.0,3.0,1,1,1,25,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,3,1,26,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,28,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,32,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,3,2,25,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,2,30,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,27,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,27,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,1,2,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,0,0,0
1400,1185336,3.0,3.0,1,3,2,41,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,30,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,1,2,22,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,3,2,26,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,0,0,0
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,0,2,23,1,0,01JAN2014:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,2,1,26,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,24,1,0,01JUL2014:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,2,24,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,0,0,0
1400,1185336,3.0,3.0,1,1,1,25,1,0,01JAN2017:00:00:00,0,1.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,24,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,2,28,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,3,1,26,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,1,2,48,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,2,2,24,1,0,01JAN2015:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,26,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,26,1,1,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,20,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,23,1,0,01JUL2016:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185336,3.0,3.0,1,1,1,21,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,1,2,25,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,2,2,26,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,1,1,26,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JUL2016:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185336,3.0,3.0,1,3,1,23,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,1,27,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,1,2,32,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185336,3.0,3.0,1,3,2,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,0,0,0
1400,1185336,3.0,3.0,1,0,2,27,1,0,01JAN2016:00:00:00,0,0.0,0,0,2,0,0,0
1400,1185336,3.0,3.0,1,1,1,22,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,31,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,3,1,21,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,22,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,24,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,39,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,25,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,19,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,2,31,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,2,29,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,1,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,29,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,3,1,23,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,0,0,1
1400,1185336,3.0,3.0,1,1,1,36,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,24,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,19,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,2,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,2,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,0,0,1
1400,1185336,3.0,3.0,1,3,2,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,22,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,2,20,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,3,1,29,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,0,2,24,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,21,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,4,1,21,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,4,1,20,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,24,1,0,01JUL2017:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,2,48,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,42,1,0,01JAN2017:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,1,19,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,0,2,20,1,0,01JAN2017:00:00:00,0,0.0,0,0,2,0,0,1
1400,1185336,3.0,3.0,1,3,2,23,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,1,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,40,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,20,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,22,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,1,44,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,49,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,17,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,1,2,26,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,30,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,2,23,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,19,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,40,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,2,2,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,3,1,34,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,0,1,24,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,1,19,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,1,2,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185336,3.0,3.0,1,0,1,18,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,0,2,23,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,0,0,0
1400,1185336,3.0,3.0,1,1,2,28,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185336,3.0,3.0,1,0,2,21,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185915,3.0,3.0,1,1,1,31,1,0,01JUL2015:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185915,3.0,3.0,1,3,2,31,1,0,01JUL2016:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185915,3.0,3.0,1,0,2,34,1,0,01JAN2018:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185915,3.0,3.0,1,0,1,34,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185915,3.0,3.0,1,1,2,29,1,0,01JUL2014:00:00:00,0,0.0,0,0,2,0,0,0
1400,1185915,3.0,3.0,1,1,2,34,1,0,01JUL2014:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185915,3.0,3.0,1,1,2,35,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185915,3.0,3.0,1,1,2,25,1,0,01JUL2016:00:00:00,0,0.0,0,0,2,1,1,1
1400,1185915,3.0,3.0,1,3,2,32,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185915,3.0,3.0,1,1,2,33,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,1,1
1400,1185915,3.0,3.0,1,1,2,30,1,0,01JUL2017:00:00:00,0,0.0,0,0,2,1,0,1
1400,1185915,3.0,3.0,1,3,2,36,1,0,01JAN2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185915,3.0,3.0,1,1,2,45,1,0,01JUL2016:00:00:00,0,0.0,0,0,2,0,0,1
1400,1185915,3.0,3.0,1,1,1,27,1,0,01JUL2016:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185915,3.0,3.0,1,1,2,36,1,0,01JUL2018:00:00:00,0,0.0,0,0,1,1,0,1
1400,1185915,3.0,3.0,1,3,2,27,1,0,01JAN2016:00:00:00,0,0.0,0,0,1,0,0,0
